country_code_a3,country_label,stress_status,brent_live_usd,fiscal_breakeven_usd,price_gap_usd,reserve_runway_risk,reserve_runway_months,runway_status,fiscal_stress_score,social_stability_risk,confidence,chain_transmission_severity_recent,chain_severity_raw,right_now_risk_score,primary_driver,missing_components,rescaled_weights,snapshot_year,scenario,method_version,historical_brent_usd,missing_components_count
IRN,Iran,Red,43.086758979224406,130,-86.91324102077559,0.9777777777777777,6.666666666666667,Red,0.6685633924675045,0.35587001111770156,low,0.4044650813751699,0.144997,0.6305086503066453,Mixed,,"{'fiscal_stress_score': 0.35, 'reserve_runway_risk': 0.25, 'social_stability_risk': 0.2, 'chain_transmission_severity_recent': 0.2}",2020,base,1.0,43.09,0
IRQ,Iraq,Red,43.086758979224406,130,-86.91324102077559,0.0,40.0,Green,0.6685633924675045,0.6550446240916921,medium,0.8304582336663383,0.235823,0.5310977589152327,Fiscal stress,,"{'fiscal_stress_score': 0.35, 'reserve_runway_risk': 0.25, 'social_stability_risk': 0.2, 'chain_transmission_severity_recent': 0.2}",2020,base,1.0,43.09,0
BHR,Bahrain,Red,43.086758979224406,95,-51.913241020775594,0.7833333333333333,12.5,Amber,0.5464551686397431,0.46637801521928623,high,0.2102621828244454,0.103591,0.5224206819659897,Mixed,,"{'fiscal_stress_score': 0.35, 'reserve_runway_risk': 0.25, 'social_stability_risk': 0.2, 'chain_transmission_severity_recent': 0.2}",2020,base,1.0,43.09,0
DZA,Algeria,Red,43.086758979224406,135,-91.91324102077559,0.3666666666666667,25.0,Amber,0.6808388223761155,0.3897024778325519,medium,0.24509169363538297,0.111017,0.4569190887918941,Fiscal stress,,"{'fiscal_stress_score': 0.35, 'reserve_runway_risk': 0.25, 'social_stability_risk': 0.2, 'chain_transmission_severity_recent': 0.2}",2020,base,1.0,43.09,0
OMN,Oman,Red,43.086758979224406,90,-46.913241020775594,0.19999999999999996,30.0,Amber,0.5212582335641732,0.40054579787552624,high,0.4899957788096242,0.163233,0.4105486970844907,Fiscal stress,,"{'fiscal_stress_score': 0.35, 'reserve_runway_risk': 0.25, 'social_stability_risk': 0.2, 'chain_transmission_severity_recent': 0.2}",2020,base,1.0,43.09,0
LBY,Libya,Red,43.086758979224406,115,-71.91324102077559,0.0,100.0,Green,0.6253325306154399,0.591000365895231,low,0.25225833685099197,0.112545,0.38751812626464854,Fiscal stress,,"{'fiscal_stress_score': 0.35, 'reserve_runway_risk': 0.25, 'social_stability_risk': 0.2, 'chain_transmission_severity_recent': 0.2}",2020,base,1.0,43.09,0
SAU,Saudi Arabia,Red,43.086758979224406,80,-36.913241020775594,0.0,143.33333333333334,Green,0.46141551275969495,0.398486746551865,high,0.5420477463533605,0.174331,0.3496023280469383,Fiscal stress,,"{'fiscal_stress_score': 0.35, 'reserve_runway_risk': 0.25, 'social_stability_risk': 0.2, 'chain_transmission_severity_recent': 0.2}",2020,base,1.0,43.09,0
KWT,Kuwait,Red,43.086758979224406,50,-6.913241020775594,0.0,75.0,Green,0.13826482041551189,0.41378347211275746,high,1.0,0.271971,0.3311493815679807,Chain transmission,,"{'fiscal_stress_score': 0.35, 'reserve_runway_risk': 0.25, 'social_stability_risk': 0.2, 'chain_transmission_severity_recent': 0.2}",2020,base,1.0,43.09,0
ARE,UAE,Red,43.086758979224406,65,-21.913241020775594,0.0,133.33333333333334,Green,0.33712678493500914,0.30393282413554396,high,0.34372684208057774,0.132047,0.24752630797047753,Fiscal stress,,"{'fiscal_stress_score': 0.35, 'reserve_runway_risk': 0.25, 'social_stability_risk': 0.2, 'chain_transmission_severity_recent': 0.2}",2020,base,1.0,43.09,0
QAT,Qatar,Red,43.086758979224406,55,-11.913241020775594,0.0,85.71428571428572,Green,0.21660438219591988,0.29335435341854466,high,0.3980723230617701,0.143634,0.21409686906463493,Mixed,,"{'fiscal_stress_score': 0.35, 'reserve_runway_risk': 0.25, 'social_stability_risk': 0.2, 'chain_transmission_severity_recent': 0.2}",2020,base,1.0,43.09,0
LBN,Lebanon,Gray,43.086758979224406,0,,0.0,,Gray,0.0,0.6709677419354838,low,0.37379578819004733,0.138458,0.20895270602510624,Social stability,,"{'fiscal_stress_score': 0.35, 'reserve_runway_risk': 0.25, 'social_stability_risk': 0.2, 'chain_transmission_severity_recent': 0.2}",2020,base,1.0,43.09,0
JOR,Jordan,Gray,43.086758979224406,0,,0.0,,Gray,0.0,0.43544700814237125,high,0.3884714600628487,0.141587,0.164783693641044,Social stability,,"{'fiscal_stress_score': 0.35, 'reserve_runway_risk': 0.25, 'social_stability_risk': 0.2, 'chain_transmission_severity_recent': 0.2}",2020,base,1.0,43.09,0
MAR,Morocco,Gray,43.086758979224406,0,,0.0,,Gray,0.0,0.06819204801200299,high,0.3930678673608179,0.142567,0.09225198307456417,Chain transmission,,"{'fiscal_stress_score': 0.35, 'reserve_runway_risk': 0.25, 'social_stability_risk': 0.2, 'chain_transmission_severity_recent': 0.2}",2020,base,1.0,43.09,0
EGY,Egypt,Red,43.086758979224406,45,-1.9132410207755939,0.0,38.888888888888886,Green,0.04251646712834653,0.3305299953870964,high,0.0,0.058761,0.08098676257234057,Social stability,,"{'fiscal_stress_score': 0.35, 'reserve_runway_risk': 0.25, 'social_stability_risk': 0.2, 'chain_transmission_severity_recent': 0.2}",2020,base,1.0,43.09,0
