country_code,country_code_a3,country_name,year,is_exporter,brent_price_usd,brent_yoy_pct,fiscal_delta_pp,spending_pressure_pp,subsidy_strain_score,passthrough_factor,oil_inflation_pp,cpi_actual_pct,employment_pressure_score,transmission_severity
AE,ARE,United Arab Emirates,2000,True,28.510000,,,,0.000000,0.150000,,,0.000000,0.022500
AE,ARE,United Arab Emirates,2001,True,24.440000,-14.275693,-2.256450,2.256450,0.180951,0.163571,-2.335094,,0.019239,0.105677
AE,ARE,United Arab Emirates,2002,True,25.020000,2.373159,0.347557,0.000000,0.000000,0.150000,0.355974,,0.000000,0.026754
AE,ARE,United Arab Emirates,2003,True,28.850000,15.307754,2.725653,0.000000,0.000000,0.150000,2.296163,,0.000000,0.053699
AE,ARE,United Arab Emirates,2004,True,38.270000,32.651646,6.830139,0.000000,0.000000,0.150000,4.897747,,0.000000,0.096948
AE,ARE,United Arab Emirates,2005,True,54.520000,42.461458,10.166011,0.000000,0.000000,0.150000,6.369219,,0.000000,0.129296
AE,ARE,United Arab Emirates,2006,True,65.140000,19.479090,5.041583,0.000000,0.000000,0.150000,2.921864,,0.000000,0.074431
AE,ARE,United Arab Emirates,2007,True,72.440000,11.206632,2.658028,0.000000,0.000000,0.150000,1.680995,,0.000000,0.050492
AE,ARE,United Arab Emirates,2008,True,96.940000,33.821093,9.020776,0.000000,0.000000,0.150000,5.073164,12.250420,0.000000,0.114744
AE,ARE,United Arab Emirates,2009,True,61.510000,-36.548380,-6.731577,6.731577,0.442323,0.183174,-6.694722,1.561813,0.155839,0.261609
AE,ARE,United Arab Emirates,2010,True,79.500000,29.247277,6.633206,0.000000,0.000000,0.150000,4.387092,0.877983,0.000000,0.093191
AE,ARE,United Arab Emirates,2011,True,111.260000,39.949686,11.425242,0.000000,0.000000,0.150000,5.992453,0.877347,0.000000,0.137444
AE,ARE,United Arab Emirates,2012,True,111.630000,0.332554,0.090005,0.000000,0.000000,0.150000,0.049883,0.662269,0.000000,0.023417
AE,ARE,United Arab Emirates,2013,True,108.660000,-2.660575,-0.698349,0.698349,0.042694,0.153202,-0.407606,1.101118,0.000819,0.044312
AE,ARE,United Arab Emirates,2014,True,98.970000,-8.917725,-2.046249,2.046249,0.119477,0.158961,-1.417568,2.346269,0.009059,0.087012
AE,ARE,United Arab Emirates,2015,True,52.390000,-47.064767,-6.166677,6.166677,0.211955,0.165897,-7.807887,4.069966,0.185435,0.221097
AE,ARE,United Arab Emirates,2016,True,43.550000,-16.873449,-1.869706,1.869706,0.044965,0.153372,-2.587921,1.617488,0.019359,0.077614
AE,ARE,United Arab Emirates,2017,True,54.250000,24.569460,3.316527,0.000000,0.000000,0.150000,3.685419,1.966826,0.000000,0.064348
AE,ARE,United Arab Emirates,2018,True,71.690000,32.147465,5.496893,0.000000,0.000000,0.150000,4.822120,3.068634,0.000000,0.086254
AE,ARE,United Arab Emirates,2019,True,64.370000,-10.210629,-1.601189,1.601189,0.032793,0.152459,-1.556707,-1.931081,0.009124,0.065306
AE,ARE,United Arab Emirates,2020,True,41.960000,-34.814355,-3.653452,3.653452,0.069167,0.155188,-5.402753,-2.079403,0.079829,0.132047
AE,ARE,United Arab Emirates,2021,True,70.680000,68.446139,10.727628,0.000000,0.000000,0.150000,10.266921,0.179935,0.000000,0.150652
AE,ARE,United Arab Emirates,2022,True,100.930000,42.798529,0.000000,-0.000000,-0.000000,0.150000,6.419779,5.291226,-0.000000,0.050483
AE,ARE,United Arab Emirates,2023,True,82.170000,-18.587140,-0.000000,0.000000,0.000000,0.150000,-2.788071,1.626708,0.000000,0.034653
AE,ARE,United Arab Emirates,2024,True,80.300000,-2.275770,-0.000000,0.000000,0.000000,0.150000,-0.341365,1.663365,0.000000,0.023988
BH,BHR,Bahrain,2000,True,28.510000,,,,0.000000,0.150000,,-0.704853,0.000000,0.022500
BH,BHR,Bahrain,2001,True,24.440000,-14.275693,-2.142417,2.142417,0.193585,0.164519,-2.348621,-1.207572,0.018669,0.105591
BH,BHR,Bahrain,2002,True,25.020000,2.373159,0.343886,0.000000,0.000000,0.150000,0.355974,-0.495540,0.000000,0.026725
BH,BHR,Bahrain,2003,True,28.850000,15.307754,2.294330,0.000000,0.000000,0.150000,2.296163,1.593625,0.000000,0.050345
BH,BHR,Bahrain,2004,True,38.270000,32.651646,5.437486,0.000000,0.000000,0.150000,4.897747,2.352941,0.000000,0.086121
BH,BHR,Bahrain,2005,True,54.520000,42.461458,8.531832,0.000000,0.000000,0.150000,6.369219,2.586207,0.000000,0.116592
BH,BHR,Bahrain,2006,True,65.140000,19.479090,3.967318,0.000000,0.000000,0.150000,2.921864,2.007470,0.000000,0.066079
BH,BHR,Bahrain,2007,True,72.440000,11.206632,2.128207,0.000000,0.000000,0.150000,1.680995,3.256667,0.000000,0.046373
BH,BHR,Bahrain,2008,True,96.940000,33.821093,7.332946,0.000000,0.000000,0.150000,5.073164,3.526003,0.000000,0.101622
BH,BHR,Bahrain,2009,True,61.510000,-36.548380,-5.275802,5.275802,0.394840,0.179613,-6.564565,2.795513,0.129969,0.224037
BH,BHR,Bahrain,2010,True,79.500000,29.247277,5.064351,0.000000,0.000000,0.150000,4.387092,1.961885,0.000000,0.080995
BH,BHR,Bahrain,2011,True,111.260000,39.949686,9.347450,0.000000,0.000000,0.150000,5.992453,-0.400041,0.000000,0.121290
BH,BHR,Bahrain,2012,True,111.630000,0.332554,0.066824,0.000000,0.000000,0.150000,0.049883,2.757397,0.000000,0.023237
BH,BHR,Bahrain,2013,True,108.660000,-2.660575,-0.555156,0.555156,0.044618,0.153346,-0.407989,3.300012,0.000742,0.041935
BH,BHR,Bahrain,2014,True,98.970000,-8.917725,-1.682857,1.682857,0.115293,0.158647,-1.414770,2.647553,0.008153,0.079443
BH,BHR,Bahrain,2015,True,52.390000,-47.064767,-4.623993,4.623993,0.118015,0.158851,-7.476292,1.848627,0.141524,0.172084
BH,BHR,Bahrain,2016,True,43.550000,-16.873449,-1.287377,1.287377,0.029972,0.152248,-2.568948,2.786793,0.014076,0.063780
BH,BHR,Bahrain,2017,True,54.250000,24.569460,2.196007,0.000000,0.000000,0.150000,3.685419,1.386718,0.000000,0.055637
BH,BHR,Bahrain,2018,True,71.690000,32.147465,3.661622,0.000000,0.000000,0.150000,4.822120,2.087669,0.000000,0.071986
BH,BHR,Bahrain,2019,True,64.370000,-10.210629,-1.005562,1.005562,0.024668,0.151850,-1.550485,1.005820,0.006380,0.052589
BH,BHR,Bahrain,2020,True,41.960000,-34.814355,-2.331026,2.331026,0.059731,0.154480,-5.378115,-2.317706,0.054224,0.103591
BH,BHR,Bahrain,2021,True,70.680000,68.446139,7.486417,0.000000,0.000000,0.150000,10.266921,-0.606319,0.000000,0.125454
BH,BHR,Bahrain,2022,True,100.930000,42.798529,0.000000,-0.000000,-0.000000,0.150000,6.419779,3.625741,-0.000000,0.050483
BH,BHR,Bahrain,2023,True,82.170000,-18.587140,-0.000000,0.000000,0.000000,0.150000,-2.788071,0.074621,0.000000,0.034653
BH,BHR,Bahrain,2024,True,80.300000,-2.275770,-0.000000,0.000000,0.000000,0.150000,-0.341365,0.919635,0.000000,0.023988
DZ,DZA,Algeria,2000,True,28.510000,,,,0.000000,0.150000,,0.339163,0.000000,0.022500
DZ,DZA,Algeria,2001,True,24.440000,-14.275693,-2.386863,2.386863,0.008479,0.150636,-2.150433,4.225988,0.018394,0.079437
DZ,DZA,Algeria,2002,True,25.020000,2.373159,0.420137,0.000000,0.000000,0.150000,0.355974,1.418302,0.000000,0.027318
DZ,DZA,Algeria,2003,True,28.850000,15.307754,3.012357,0.000000,0.000000,0.150000,2.296163,4.268954,0.000000,0.055928
DZ,DZA,Algeria,2004,True,38.270000,32.651646,7.224821,0.000000,0.000000,0.150000,4.897747,3.961800,0.000000,0.100017
DZ,DZA,Algeria,2005,True,54.520000,42.461458,11.852740,0.000000,0.000000,0.150000,6.369219,1.382447,0.000000,0.142410
DZ,DZA,Algeria,2006,True,65.140000,19.479090,5.753031,0.000000,0.000000,0.150000,2.921864,2.311499,0.000000,0.079962
DZ,DZA,Algeria,2007,True,72.440000,11.206632,3.129643,0.000000,0.000000,0.150000,1.680995,3.678996,0.000000,0.054158
DZ,DZA,Algeria,2008,True,96.940000,33.821093,9.844860,0.000000,0.000000,0.150000,5.073164,4.858591,0.000000,0.121150
DZ,DZA,Algeria,2009,True,61.510000,-36.548380,-7.274819,7.274819,0.041304,0.153098,-5.595476,5.737060,0.136286,0.200768
DZ,DZA,Algeria,2010,True,79.500000,29.247277,6.432646,0.000000,0.000000,0.150000,4.387092,3.911062,0.000000,0.091632
DZ,DZA,Algeria,2011,True,111.260000,39.949686,9.997812,0.000000,0.000000,0.150000,5.992453,4.524212,0.000000,0.126346
DZ,DZA,Algeria,2012,True,111.630000,0.332554,0.075166,0.000000,0.000000,0.150000,0.049883,8.891451,0.000000,0.023302
DZ,DZA,Algeria,2013,True,108.660000,-2.660575,-0.555327,0.555327,0.003609,0.150271,-0.399806,3.254239,0.000727,0.035289
DZ,DZA,Algeria,2014,True,98.970000,-8.917725,-1.722613,1.722613,0.012251,0.150919,-1.345853,2.916927,0.007863,0.063249
DZ,DZA,Algeria,2015,True,52.390000,-47.064767,-5.528182,5.528182,0.020093,0.151507,-7.130642,4.784447,0.155772,0.172870
DZ,DZA,Algeria,2016,True,43.550000,-16.873449,-1.691769,1.691769,0.004082,0.150306,-2.536183,6.397695,0.017501,0.067313
DZ,DZA,Algeria,2017,True,54.250000,24.569460,2.986805,0.000000,0.000000,0.150000,3.685419,5.591116,0.000000,0.061785
DZ,DZA,Algeria,2018,True,71.690000,32.147465,5.125209,0.000000,0.000000,0.150000,4.822120,4.269990,0.000000,0.083364
DZ,DZA,Algeria,2019,True,64.370000,-10.210629,-1.443998,1.443998,0.003811,0.150286,-1.534513,1.951768,0.008363,0.057530
DZ,DZA,Algeria,2020,True,41.960000,-34.814355,-3.146665,3.146665,0.007611,0.150571,-5.242026,2.415131,0.068486,0.111017
DZ,DZA,Algeria,2021,True,70.680000,68.446139,9.898383,0.000000,0.000000,0.150000,10.266921,7.226063,0.000000,0.144205
DZ,DZA,Algeria,2022,True,100.930000,42.798529,0.000000,-0.000000,-0.000000,0.150000,6.419779,9.265516,-0.000000,0.050483
DZ,DZA,Algeria,2023,True,82.170000,-18.587140,-0.000000,0.000000,0.000000,0.150000,-2.788071,9.322174,0.000000,0.034653
DZ,DZA,Algeria,2024,True,80.300000,-2.275770,-0.000000,0.000000,0.000000,0.150000,-0.341365,4.046115,0.000000,0.023988
EG,EGY,"Egypt, Arab Rep.",2000,True,28.510000,,,,0.000000,0.150000,,2.683805,0.000000,0.022500
EG,EGY,"Egypt, Arab Rep.",2001,True,24.440000,-14.275693,-0.738148,0.738148,0.001276,0.150096,-2.142720,2.269757,0.007020,0.046438
EG,EGY,"Egypt, Arab Rep.",2002,True,25.020000,2.373159,0.140154,0.000000,0.000000,0.150000,0.355974,2.737239,0.000000,0.025141
