country_code,country_code_a3,country_name,oil_rents_pct_gdp,exports_pct_gdp,imports_pct_gdp,gdp_growth_vol,inflation_vol,norm_oil_rents_pct_gdp,norm_exports_pct_gdp,norm_imports_pct_gdp,norm_gdp_growth_vol,norm_inflation_vol,ocvi_score,ocvi_rank,ocvi_weight_used,components_available,components_missing,yrs_oil_rents,yrs_exports_gdp,yrs_imports_gdp,yrs_gdp_growth,yrs_inflation,data_quality,data_insufficient
LY,LBY,Libya,41.281199,56.066879,29.406061,0.310763,8.663288,0.874152,0.343904,0.276864,1.000000,0.098805,0.619852,1,1.000000,5,,22,24,24,24,25,full (5/5 components),False
IQ,IRQ,Iraq,47.224260,41.005687,22.909718,0.258993,14.881073,1.000000,0.195499,0.161049,0.787954,0.185729,0.600023,2,1.000000,5,,22,20,20,24,25,full (5/5 components),False
KW,KWT,Kuwait,45.126719,73.531572,19.033157,0.191786,2.058331,0.955583,0.515991,0.091939,0.512677,0.006470,0.576771,3,1.000000,5,,21,25,25,24,25,full (5/5 components),False
AE,ARE,United Arab Emirates,19.673599,122.652359,69.968630,0.123508,3.186774,0.416599,1.000000,1.000000,0.233015,0.022245,0.553817,4,1.000000,5,,22,2,2,24,17,full (5/5 components),True
OM,OMN,Oman,31.395397,56.380515,28.552521,0.146018,2.726389,0.664815,0.346994,0.261647,0.325215,0.015809,0.424935,5,1.000000,5,,22,25,25,24,24,full (5/5 components),False
SA,SAU,Saudi Arabia,36.347071,45.738664,17.110133,0.137736,2.535424,0.769669,0.242135,0.057656,0.291292,0.013139,0.409951,6,1.000000,5,,22,25,25,24,25,full (5/5 components),False
QA,QAT,Qatar,25.508533,65.900431,16.545403,0.196825,4.839006,0.540157,0.440798,0.047588,0.533319,0.045343,0.395893,7,1.000000,5,,22,14,14,24,25,full (5/5 components),False
BH,BHR,Bahrain,15.510282,97.971910,48.123051,0.092769,1.651222,0.328439,0.756813,0.610544,0.107108,0.000778,0.390464,8,1.000000,5,,22,25,25,24,25,full (5/5 components),False
LB,LBN,Lebanon,0.000000,54.621184,44.808423,0.128878,73.127488,0.000000,0.329659,0.551452,0.255011,1.000000,0.286901,9,1.000000,5,,22,22,22,23,16,full (5/5 components),False
IR,IRN,"Iran, Islamic Rep.",21.717571,27.493868,13.876050,0.174349,12.105474,0.459882,0.062361,0.000000,0.441255,0.146926,0.277306,10,1.000000,5,,22,1,1,24,25,full (5/5 components),True
DZ,DZA,Algeria,19.461216,30.732065,21.773025,0.128836,2.389475,0.412102,0.094269,0.140785,0.254836,0.011099,0.244148,11,1.000000,5,,22,20,20,24,25,full (5/5 components),False
JO,JOR,Jordan,0.002656,46.888773,51.842545,0.066619,3.025965,0.000056,0.253468,0.676854,0.000000,0.019997,0.154244,12,1.000000,5,,22,25,25,24,25,full (5/5 components),False
EG,EGY,"Egypt, Arab Rep.",6.888342,21.165001,19.487978,0.130186,8.267273,0.145864,0.000000,0.100048,0.260369,0.093269,0.121735,13,1.000000,5,,22,25,25,24,25,full (5/5 components),False
MA,MAR,Morocco,0.003825,30.261931,31.167512,0.080806,1.595539,0.000081,0.089636,0.308266,0.058111,0.000000,0.072916,14,1.000000,5,,22,25,25,24,25,full (5/5 components),False
