scenario_id,varied_component,fiscal_w,runway_w,social_w,chain_w,country_code_a3,country_label,right_now_risk_score,rank,stress_status,brent_live_usd,fiscal_breakeven_usd,price_gap_usd,reserve_runway_risk,reserve_runway_months,runway_status,fiscal_stress_score,social_stability_risk,confidence,chain_transmission_severity_recent,chain_severity_raw,primary_driver,missing_components,rescaled_weights
base,base,0.35,0.25,0.2,0.2,IRN,Iran,0.40988390053215396,1,Red,111.2300033569336,130,-18.769996643066406,0.9777777777777777,6.666666666666667,Red,0.14438458956204928,0.19861637024606502,low,0.37590787845889617,0.2869207617965515,Reserve runway,,"{'fiscal_stress_score': 0.35, 'reserve_runway_risk': 0.25, 'social_stability_risk': 0.2, 'chain_transmission_severity_recent': 0.2}"
base,base,0.35,0.25,0.2,0.2,LBN,Lebanon,0.3341935483870968,2,Gray,111.2300033569336,0,,0.0,,Gray,0.0,0.6709677419354838,low,1.0,0.5895789570393043,Chain transmission,,"{'fiscal_stress_score': 0.35, 'reserve_runway_risk': 0.25, 'social_stability_risk': 0.2, 'chain_transmission_severity_recent': 0.2}"
base,base,0.35,0.25,0.2,0.2,DZA,Algeria,0.28653509568013974,3,Red,111.2300033569336,135,-23.769996643066406,0.3666666666666667,25.0,Amber,0.17607404920789932,0.23827304588208706,medium,0.42793951307145434,0.3121538965915884,Mixed,,"{'fiscal_stress_score': 0.35, 'reserve_runway_risk': 0.25, 'social_stability_risk': 0.2, 'chain_transmission_severity_recent': 0.2}"
base,base,0.35,0.25,0.2,0.2,IRQ,Iraq,0.27883646382663035,4,Red,111.2300033569336,130,-18.769996643066406,0.0,40.0,Green,0.14438458956204928,0.4977909832200554,medium,0.6437183041795101,0.4167974535830795,Chain transmission,,"{'fiscal_stress_score': 0.35, 'reserve_runway_risk': 0.25, 'social_stability_risk': 0.2, 'chain_transmission_severity_recent': 0.2}"
base,base,0.35,0.25,0.2,0.2,LBY,Libya,0.2630479807637231,5,Red,111.2300033569336,115,-3.7699966430664062,0.0,100.0,Green,0.032782579504925274,0.41323538056207654,low,0.8446350091229197,0.5142335294658096,Chain transmission,,"{'fiscal_stress_score': 0.35, 'reserve_runway_risk': 0.25, 'social_stability_risk': 0.2, 'chain_transmission_severity_recent': 0.2}"
base,base,0.35,0.25,0.2,0.2,JOR,Jordan,0.1323957678435873,6,Gray,111.2300033569336,0,,0.0,,Gray,0.0,0.43544700814237125,high,0.22653183107556524,0.2144797176732966,Social stability,,"{'fiscal_stress_score': 0.35, 'reserve_runway_risk': 0.25, 'social_stability_risk': 0.2, 'chain_transmission_severity_recent': 0.2}"
base,base,0.35,0.25,0.2,0.2,EGY,Egypt,0.13020803102340467,7,Green,111.2300033569336,45,66.2300033569336,0.0,,Gray,0.0,0.3177750552485924,high,0.3332650998684309,0.2662408237507762,Mixed,,"{'fiscal_stress_score': 0.35, 'reserve_runway_risk': 0.25, 'social_stability_risk': 0.2, 'chain_transmission_severity_recent': 0.2}"
base,base,0.35,0.25,0.2,0.2,BHR,Bahrain,0.1290636494632439,8,Green,111.2300033569336,95,16.230003356933594,0.0,,Gray,0.0,0.3024414646273633,high,0.34287678268885613,0.2709020820414468,Chain transmission,,"{'fiscal_stress_score': 0.35, 'reserve_runway_risk': 0.25, 'social_stability_risk': 0.2, 'chain_transmission_severity_recent': 0.2}"
base,base,0.35,0.25,0.2,0.2,OMN,Oman,0.08957318510719375,9,Green,111.2300033569336,90,21.230003356933594,0.0,,Gray,0.0,0.2441683278062743,high,0.20369759772969448,0.2034060834842485,Social stability,,"{'fiscal_stress_score': 0.35, 'reserve_runway_risk': 0.25, 'social_stability_risk': 0.2, 'chain_transmission_severity_recent': 0.2}"
base,base,0.35,0.25,0.2,0.2,KWT,Kuwait,0.07446080519762079,10,Green,111.2300033569336,50,61.230003356933594,0.0,,Gray,0.0,0.3723040259881039,high,0.0,0.1046213926089397,Social stability,,"{'fiscal_stress_score': 0.35, 'reserve_runway_risk': 0.25, 'social_stability_risk': 0.2, 'chain_transmission_severity_recent': 0.2}"
